	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
10	2.0	0.0	2.0	2.0	1.0	1.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0		0.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0		0.0	0.0	2.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0
11	2.0	0.0	2.0	2.0	1.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0		0.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0		2.0	2.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0		0.0	0.0	2.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	2.0		0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0
12	2.0	0.0	1.0	2.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0		0.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0		2.0	2.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0		0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	2.0		0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	2.0
13	2.0	0.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0		0.0	2.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0		2.0	2.0		1.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0		1.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0		0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	2.0
14	2.0	0.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0		0.0	1.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0		2.0	2.0		0.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0		1.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0		0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0
15	2.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0		0.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0		1.0	1.0		0.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0		2.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	0.0	0.0	2.0		0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	2.0	2.0
16	2.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0		0.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0		1.0	0.0		0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0		2.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0		0.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0
17	2.0	0.0	1.0	1.0	2.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0		0.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	1.0	2.0		1.0			0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0		2.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	1.0		0.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0
18	1.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	1.0		0.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	0.0	2.0		1.0			0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0		2.0	0.0	2.0	2.0	2.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	1.0		0.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
19	1.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	1.0		0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0		1.0			0.0	0.0	2.0	2.0	1.0	0.0	1.0	2.0		1.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	2.0	0.0		0.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
20	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0		0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0		0.0			0.0	0.0	2.0	2.0	1.0	0.0	1.0	2.0		1.0	1.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	1.0	0.0	1.0	2.0	0.0		0.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0
21	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0		0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0		0.0			1.0	1.0	2.0	2.0	2.0	0.0	1.0	2.0		1.0	1.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0		1.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0
22		0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0		0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0		0.0			0.0	1.0	2.0	2.0	2.0	0.0	1.0	2.0		0.0	1.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	2.0	1.0	0.0	2.0	2.0	0.0		1.0	0.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0
23		0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0		0.0	2.0	0.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0		0.0			0.0	1.0	2.0	2.0	2.0	0.0	1.0	2.0		0.0	1.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0		0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0		1.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0
24		0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0		0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0		0.0			0.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0		0.0	1.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0		1.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0		1.0	1.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0
25		0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0		0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0		0.0			0.0	1.0	1.0	2.0	1.0	0.0	1.0	2.0		0.0	1.0	1.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	2.0		1.0	1.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0		1.0	1.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0
26		0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0		0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0		0.0			0.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0		0.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0		1.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0		2.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0
27		0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0		0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0		0.0			0.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0		0.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0		1.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0		2.0	1.0	0.0		2.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0
28		0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0		0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0		1.0			0.0	1.0	2.0	2.0	2.0	0.0	0.0	2.0		0.0	0.0	1.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0		1.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0		2.0	1.0	0.0		2.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0
29		0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0		0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0		1.0			0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0		0.0	0.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	1.0		1.0	2.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0		2.0	2.0		2.0	0.0	0.0		2.0	0.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0
30		0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0		0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0		1.0			0.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0		0.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	0.0	1.0		1.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0		2.0	2.0		2.0	0.0	0.0		2.0	0.0	2.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0
31		0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0		1.0	0.0	0.0	1.0	0.0	0.0		0.0	2.0	0.0	0.0	1.0	0.0		0.0	2.0	0.0	1.0	2.0		1.0			0.0	2.0	2.0	2.0	2.0	1.0	0.0	2.0		0.0	1.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	1.0		1.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0		2.0	2.0		2.0	0.0	0.0		2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0
32		1.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0		1.0	0.0	0.0	1.0	0.0	1.0		0.0	2.0	0.0	0.0	0.0	0.0		2.0	2.0	0.0	1.0	2.0		1.0			0.0	2.0	2.0	2.0	2.0	1.0	0.0	2.0		0.0	1.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0		2.0	1.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0		2.0	2.0		2.0	0.0	0.0		2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0
33		1.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0		1.0	0.0	0.0	1.0	0.0	2.0		1.0	2.0	0.0	0.0	0.0	0.0		2.0	2.0	0.0	1.0	2.0		1.0			0.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0		0.0	1.0	0.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0		2.0	1.0	1.0	0.0	0.0	1.0	2.0	2.0		0.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0		2.0	2.0		2.0	0.0	0.0		2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0
34		1.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0		1.0	0.0	0.0	1.0	0.0	2.0		1.0	2.0	0.0	0.0	0.0	0.0		2.0	2.0	0.0	0.0	2.0		1.0			0.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0		0.0	1.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0		2.0	1.0	1.0	1.0	0.0	1.0	2.0	2.0		1.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0		1.0	2.0		2.0	0.0	0.0		2.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	1.0	2.0
35		1.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0		1.0	0.0	0.0	1.0	0.0	2.0		1.0	2.0	0.0	1.0	0.0	0.0		2.0	2.0	0.0	0.0	1.0		0.0			0.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0		0.0	1.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0		2.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0		2.0	0.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0		1.0	1.0		2.0	0.0	0.0		2.0	1.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0
36		1.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0		0.0	1.0	0.0	1.0	0.0	2.0		1.0	1.0	0.0	1.0	0.0	0.0		2.0	2.0	1.0	0.0	1.0		0.0			0.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0		0.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0		2.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0		2.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0		2.0	2.0		2.0	1.0	0.0		2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0
37		1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0		0.0	2.0	0.0	1.0	0.0	2.0		1.0	1.0	1.0	1.0	0.0	0.0		2.0	2.0	1.0	0.0	1.0		0.0			0.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0		0.0	1.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0		2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0		2.0	0.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0		2.0	2.0		1.0	2.0	0.0		2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0
